Compañia,Videojuego,Año,Consola/PC,N° Trabajadores,Tamaño del juego (Aprox.),Original/Remaster/Remake/Expansión,Estética,Puntaje Medio Críticas (1-100)
Sucker Punch,Infamous: Second Son,2014,PS4,935,21 GB,Original,Realista,80
Sucker Punch,Infamous: First Light,2014,PS4,673,10.03 GB,Expansión,Realista,73
Sucker Punch,Ghost of Tsushima,2020,"PS4, PC",1796,39.94 GB,Original,Realista,83
Sucker Punch,Ghost of Yotei,2025,PS5,Sin datos,Sin datos,Original,Realista,Aún no lanzado
Bend Studio (Ex Eidetic),Bubsy 3D,1996,PS1,37,191 MB,Original,Cartoon,51
Bend Studio (Ex Eidetic),Syphon Filter,1999,PS1,210,360 MB,Original,Realista,90
Bend Studio (Ex Eidetic),Syphon Filter 2,2000,PS1,181,856 MB,Original,Realista,81
Bend Studio (Ex Eidetic),Syphon Filter 3,2001,PS1,154,349 MB,Original,Realista,73
Bend Studio (Ex Eidetic),Syphon Filter: The Omega Strain,2004,PS2,126,2.38 GB,Original,Realista,65
Bend Studio (Ex Eidetic),Syphon Filter: Dark Mirror,2006,"PS2, PSP",328,3.15 GB,Original,Realista,87
Bend Studio (Ex Eidetic),Syphon Filter: Logan´s Shadow,2007,"PS2, PSP",327,2.85 GB,Original,Realista,85
Bend Studio (Ex Eidetic),Resistance: Retribution,2009,PSP,481,1.23 GB,Original,Realista,81
Bend Studio (Ex Eidetic),Uncharted: Golden Abyss,2012,PS VITA,752,3 GB,Original,Realista,80
Bend Studio (Ex Eidetic),Days Gone,2019,"PS4, PC",1679,70 GB,Original,Realista,71
Insomniac Games,Disruptor,1996,PS1,57,425 MB,Original,Realista,80
Insomniac Games,Spyro the Dragon,1998,PS1,241,296 MB,Original,Cartoon,85
Insomniac Games,Spyro 2: Ripto´s Rage!,1999,PS1,183,314 MB,Original,Cartoon,87
Insomniac Games,Spyro 3: Year of the Dragon,2000,PS1,150,358 MB,Original,Cartoon,91
Insomniac Games,Ratchet and Clank,2002,PS2,129,3.14 GB,Original,Cartoon,88
Insomniac Games,Ratchet and Clank: Going Commando,2003,PS2,165,2.43 GB,Original,Cartoon,90
Insomniac Games,Ratchet and Clank: Up Your Arsenal,2004,PS2,295,2.79 GB,Original,Cartoon,91
Insomniac Games,Ratchet: Deadlocked,2005,PS2,292,2.46 GB,Original,Cartoon,81
Insomniac Games,Resistance: Fall of Man,2006,PS3,704,7.98 GB,Original,Realista,87
Insomniac Games,Ratchet and Clank Future: Tools of Destruction,2007,PS3,322,16.78 GB,Original,Cartoon,89
Insomniac Games,Ratchet and Clank: Quest for Booty,2008,PS3,426,3.28 GB,Expansión,Cartoon,76
Insomniac Games,Resistance 2,2008,PS3,540,18.45 GB,Original,Realista,86
Insomniac Games,Ratchet and Clank Future: A Crack in Time,2009,PS3,716,19.1 GB,Original,Cartoon,87
Insomniac Games,Resistance 3,2011,PS3,1006,23.49 GB,Original,Realista,83
Insomniac Games,Ratchet and Clank: All 4 One,2011,PS3,1021,15.91 GB,Original,Cartoon,70
Insomniac Games,Ratchet and Clank: Full Frontal Assault,2012,"PS3, PS VITA",656,4.36 GB,Original,Cartoon,64
Insomniac Games,Fuse,2013,"PS3, XBOX 360",681,6.27 GB,Original,Realista,62
Insomniac Games,Ratchet and Clank: Into The Nexus,2013,PS3,646,7.85 GB,Original,Cartoon,76
Insomniac Games,Sunset Overdrive,2014,"XBOX ONE, PC",1125,30 GB,Original,Mixto,81
Insomniac Games,Ratchet and Clank (2016),2016,PS4,671,28 GB,Remake,Cartoon,85
Insomniac Games,Song of the Deep,2016,"PS4, XBOX ONE, PC",389,3 GB,Original,Cartoon,69
Insomniac Games,Marvel´s Spider Man,2018,PS4,2252,53.84 GB,Original,Realista,87
